time,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/ART,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/HR,Solar8000/ART_DBP,SNUADC/ECG_II
363,,,NaN,NaN,,,NaN,,,,,,NaN
364,,,NaN,NaN,66,-11,NaN,-11,100,-11,66,-11,NaN
365,,,NaN,NaN,,,NaN,,,,,,NaN
366,,,NaN,NaN,67,-11,NaN,-11,100,-11,68,-11,NaN
367,,,NaN,NaN,,,NaN,,,,,,NaN
368,,,NaN,NaN,68,-11,NaN,-11,100,-11,68,-11,NaN
369,,,NaN,NaN,,,NaN,,,,,,NaN
370,,,NaN,NaN,67,-11,NaN,-11,100,-13,66,-11,NaN
371,,,NaN,NaN,,,NaN,,,,,,NaN
372,,,NaN,NaN,67,-11,NaN,-11,100,-13,65,-11,NaN
373,,,NaN,NaN,,,NaN,,,,,,NaN
374,,,NaN,NaN,66,-11,NaN,-11,100,-15,65,-11,NaN
375,,,NaN,NaN,,,NaN,,,,,,NaN
376,,,NaN,NaN,65,-11,NaN,-11,100,-15,65,-11,NaN
377,,,NaN,NaN,,,NaN,,,,,,NaN
378,,,NaN,NaN,65,-11,NaN,-11,100,-15,64,-11,NaN
379,,,NaN,NaN,,,NaN,,,,,,NaN
380,,,NaN,NaN,65,-11,NaN,-11,100,-15,64,-11,NaN
381,,,NaN,NaN,,,NaN,,,,,,NaN
382,,,NaN,NaN,65,-11,NaN,-11,100,-14,64,-11,NaN
383,,,NaN,NaN,,,NaN,,,,,,NaN
384,,,NaN,NaN,64,-11,NaN,-11,100,-14,63,-11,NaN
385,,,NaN,NaN,,,NaN,,,,,,NaN
386,,,NaN,NaN,63,-11,NaN,-11,100,-13,63,-11,NaN
387,,,NaN,NaN,,,NaN,,,,,,NaN
388,,,NaN,NaN,63,-11,NaN,-11,100,-13,63,-11,NaN
389,,,NaN,NaN,,,NaN,,,,,,NaN
